week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
18,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,13.758928571428571
18,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.888888888888888
19,2000,mill creek,MLM,CDEC,mill creek,temperature,max,15.222222222222221
19,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,11.849537037037038
19,2000,mill creek,MLM,CDEC,mill creek,temperature,min,8.833333333333334
20,2000,mill creek,MLM,CDEC,mill creek,temperature,max,17.88888888888889
20,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,12.754960317460318
20,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.888888888888888
21,2000,mill creek,MLM,CDEC,mill creek,temperature,max,18.5
21,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,16.77480158730159
21,2000,mill creek,MLM,CDEC,mill creek,temperature,min,14.555555555555555
22,2000,mill creek,MLM,CDEC,mill creek,temperature,max,17.944444444444443
22,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,15.593395691609976
22,2000,mill creek,MLM,CDEC,mill creek,temperature,min,12.722222222222221
23,2000,mill creek,MLM,CDEC,mill creek,temperature,max,18.444444444444443
23,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,16.39219576719577
23,2000,mill creek,MLM,CDEC,mill creek,temperature,min,13.61111111111111
24,2000,mill creek,MLM,CDEC,mill creek,temperature,max,22.055555555555557
24,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,18.160052910052908
24,2000,mill creek,MLM,CDEC,mill creek,temperature,min,13.88888888888889
25,2000,mill creek,MLM,CDEC,mill creek,temperature,max,22.11111111111111
25,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,20.053902116402117
25,2000,mill creek,MLM,CDEC,mill creek,temperature,min,17.055555555555557
26,2000,mill creek,MLM,CDEC,mill creek,temperature,max,24.055555555555557
26,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,22.19708994708995
26,2000,mill creek,MLM,CDEC,mill creek,temperature,min,19.555555555555557
27,2000,mill creek,MLM,CDEC,mill creek,temperature,max,22.333333333333332
27,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,19.680886243386244
27,2000,mill creek,MLM,CDEC,mill creek,temperature,min,18.111111111111107
28,2000,mill creek,MLM,CDEC,mill creek,temperature,max,23.166666666666668
28,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,20.642195767195766
28,2000,mill creek,MLM,CDEC,mill creek,temperature,min,17.444444444444443
29,2000,mill creek,MLM,CDEC,mill creek,temperature,max,24.055555555555557
29,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,21.389550264550262
29,2000,mill creek,MLM,CDEC,mill creek,temperature,min,19.61111111111111
30,2000,mill creek,MLM,CDEC,mill creek,temperature,max,24
30,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,21.853835978835978
30,2000,mill creek,MLM,CDEC,mill creek,temperature,min,19.944444444444446
31,2000,mill creek,MLM,CDEC,mill creek,temperature,max,25.888888888888886
31,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,23.18617724867725
31,2000,mill creek,MLM,CDEC,mill creek,temperature,min,20.72222222222222
32,2000,mill creek,MLM,CDEC,mill creek,temperature,max,25.33333333333333
32,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,22.478174603174605
32,2000,mill creek,MLM,CDEC,mill creek,temperature,min,19.444444444444443
33,2000,mill creek,MLM,CDEC,mill creek,temperature,max,23.111111111111107
33,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,21.13624338624339
33,2000,mill creek,MLM,CDEC,mill creek,temperature,min,19.388888888888893
34,2000,mill creek,MLM,CDEC,mill creek,temperature,max,21.833333333333332
34,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,19.991071428571427
