date,stream,site_group,gage_agency,gage_number,statistic,value
1998-12-19,feather river,upper feather lfc,interpolated,interpolated,mean,6.118904465862707
1998-12-19,feather river,upper feather lfc,interpolated,interpolated,max,5.644207928859357
1998-12-19,feather river,upper feather lfc,interpolated,interpolated,min,6.006394471239353
1998-12-20,feather river,upper feather lfc,interpolated,interpolated,mean,5.470822634319415
1998-12-20,feather river,upper feather lfc,interpolated,interpolated,max,5.192220891073956
1998-12-20,feather river,upper feather lfc,interpolated,interpolated,min,5.206453180867781
1998-12-21,feather river,upper feather lfc,interpolated,interpolated,mean,4.606565944835297
1998-12-21,feather river,upper feather lfc,interpolated,interpolated,max,4.061438517206662
1998-12-21,feather river,upper feather lfc,interpolated,interpolated,min,4.606600314432814
1998-12-22,feather river,upper feather lfc,interpolated,interpolated,mean,4.282746400203244
1998-12-22,feather river,upper feather lfc,interpolated,interpolated,max,3.835716591448559
1998-12-22,feather river,upper feather lfc,interpolated,interpolated,min,4.206835871934451
1998-12-23,feather river,upper feather lfc,interpolated,interpolated,mean,4.175101713512015
1998-12-23,feather river,upper feather lfc,interpolated,interpolated,max,3.6099946656904556
1998-12-23,feather river,upper feather lfc,interpolated,interpolated,min,4.2072482773092945
1998-12-24,feather river,upper feather lfc,interpolated,interpolated,mean,4.1755444557912
1998-12-24,feather river,upper feather lfc,interpolated,interpolated,max,3.61053785195965
1998-12-24,feather river,upper feather lfc,interpolated,interpolated,min,4.207660682684137
1998-12-25,feather river,upper feather lfc,interpolated,interpolated,mean,4.716424342922448
1998-12-25,feather river,upper feather lfc,interpolated,interpolated,max,4.289876374310737
1998-12-25,feather river,upper feather lfc,interpolated,interpolated,min,4.608249935932188
1998-12-26,feather river,upper feather lfc,interpolated,interpolated,mean,5.257304230053697
1998-12-26,feather river,upper feather lfc,interpolated,interpolated,max,4.742949784634526
1998-12-26,feather river,upper feather lfc,interpolated,interpolated,min,5.208927613116842
1998-12-27,feather river,upper feather lfc,interpolated,interpolated,mean,5.473921830273707
1998-12-27,feather river,upper feather lfc,interpolated,interpolated,max,4.969758082931018
1998-12-27,feather river,upper feather lfc,interpolated,interpolated,min,5.409428442428289
1998-12-28,feather river,upper feather lfc,interpolated,interpolated,mean,5.690539430493717
1998-12-28,feather river,upper feather lfc,interpolated,interpolated,max,5.19656638122751
1998-12-28,feather river,upper feather lfc,interpolated,interpolated,min,5.609929271739736
1998-12-29,feather river,upper feather lfc,interpolated,interpolated,mean,5.582894743802489
