week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
52,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.206495928169874
53,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,10.380607995145317
53,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.053059609029653
53,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.206383750261788
1,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,10.380545413202189
1,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,9.856729055885861
1,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,8.649913422270362
2,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,11.703070228687086
2,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.074495504488398
2,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,9.483272779360467
3,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.69482303092872
3,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.857043857870257
3,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.5939698771816
4,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.363738107969816
4,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.790916925571803
4,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.036938659649746
5,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.693946883724925
5,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.44189823137991
5,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,9.758927851470206
6,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.693696555952412
6,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.115642060956603
6,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.869737127199423
7,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.693258482350515
7,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.114797842941249
7,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.868278814394309
8,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.69275782680549
8,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.939866386837625
8,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.867605746945792
9,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,13.022841438674345
9,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.308957549759844
9,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.14460695395256
10,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.692006843487952
10,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.13402609365622
10,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.143821708595958
11,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,14.01446907702972
11,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.873052637516015
11,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.143036463239358
12,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,14.014218749257209
12,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.828686609978591
12,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.86468912133556
13,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,14.344490106955444
13,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.067212344334608
