date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-06-09,1006,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-10,1016,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-11,1029,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-12,1029,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-13,1008,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-14,981,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-15,981,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-16,973,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-17,1000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-18,1000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-19,990,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-20,1292,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-21,1500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-22,1490,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-23,1490,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-24,1500,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-25,1412,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-26,1026,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-27,1018,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-28,1026,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-29,1008,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-30,1010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-01,1018,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-02,1018,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-03,1029,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-04,1021,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-05,1247,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-06,2011,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-07,2021,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-08,2020,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-09,2311,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-10,2541,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-11,2531,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-12,2511,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-13,2511,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-07-14,2552,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
