"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","rl","WY2","WY3","firstCap","length.z","weight.z","k.z","lastCap","dist_rlwoodson","dist_woodsonbutte","dist_buttesac","dist_sacdelta","dist_rlwoodson.z","dist_woodsonbutte.z","dist_buttesac.z","dist_sacdelta.z"
"CFC2013-064",10000,"ColemanFall_2013",82,6.69,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00121334571465881,2013,"1S",0,1,1,-0.792158843770223,-0.483756926538851,0.704393552275895,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-065",11100,"ColemanFall_2013",85,6.72,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00109423977203338,2013,"1S",0,1,1,-0.306375807040202,-0.468297380618338,-0.527407235040817,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-066",11000,"ColemanFall_2013",85,6.1,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.000993283126399349,2013,"1S",0,1,1,-0.306375807040202,-0.787794662975622,-1.57150690660752,2,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-067",10000,"ColemanFall_2013",84,6.19,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00104436615916208,2013,"1S",0,1,1,-0.468303485950209,-0.741416025214081,-1.0432031243727,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-068",10100,"ColemanFall_2013",86,6.6,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00103764448413347,2013,"1S",0,1,1,-0.144448128130196,-0.530135564300393,-1.11271908982178,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-069",11100,"ColemanFall_2013",85,6.68,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00108772644005699,2013,"1S",0,1,1,-0.306375807040202,-0.488910108512356,-0.594768504174162,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-070",11100,"ColemanFall_2013",86,6.59,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00103607229552115,2013,"1S",0,1,1,-0.144448128130196,-0.535288746273897,-1.12897875854844,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-071",10000,"ColemanFall_2013",88,7.03,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00103159043951916,2013,"1S",0,1,1,0.179407229689818,-0.308548739439695,-1.1753303815674,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-072",11100,"ColemanFall_2013",84,6.48,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.0010932944606414,2013,"1S",0,1,1,-0.468303485950209,-0.591973747982448,-0.537183702035099,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-073",11110,"ColemanFall_2013",84,6.34,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00106967390130655,2013,"1S",0,1,1,-0.468303485950209,-0.664118295611512,-0.781468940405038,4,91.8,88,170,110,0.918,0.88,1.7,1.1
