year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2015,2015,7,feather river,gateway riffle,1234,16,NA,0
2015,2015,7,feather river,herringer riffle,981,35,-0.22674356114738392,0
2015,2015,8,feather river,gateway riffle,1655,26,NA,0
2015,2015,8,feather river,herringer riffle,1501,26,-0.22674356114738392,0
2015,2015,9,feather river,gateway riffle,883,13,NA,0
2015,2015,9,feather river,herringer riffle,1496,25,-0.22674356114738392,0
2015,2015,9,feather river,steep riffle,595,88,NA,0
2015,2015,10,feather river,herringer riffle,1513,13,-0.22674356114738392,0
2015,2015,10,feather river,steep riffle,1519,138,NA,0
2015,2015,12,feather river,herringer riffle,244,4,-0.22674356114738392,0
2015,2015,12,feather river,steep riffle,242,20,NA,0
2015,2015,13,feather river,herringer riffle,254,0,-0.22674356114738392,0
2015,2015,13,feather river,steep riffle,579,40,NA,0
2015,2016,52,feather river,gateway riffle,271,6,NA,0
2015,2016,52,feather river,herringer riffle,279,2,-0.22674356114738392,0
2015,2016,53,feather river,gateway riffle,1008,31,NA,0
2015,2016,53,feather river,herringer riffle,992,19,-0.22674356114738392,0
2016,2016,1,feather river,gateway riffle,2945,110,NA,0
2016,2016,1,feather river,herringer riffle,2461,6,-0.22674356114738392,0
2016,2016,2,feather river,gateway riffle,482,16,NA,0
2016,2016,2,feather river,herringer riffle,2401,10,-0.22674356114738392,0
2016,2016,3,feather river,gateway riffle,998,35,NA,0
2016,2016,3,feather river,herringer riffle,684,4,-0.22674356114738392,0
2016,2016,4,feather river,gateway riffle,2013,93,NA,0
2016,2016,4,feather river,herringer riffle,1117,4,-0.22674356114738392,0
2016,2016,5,feather river,gateway riffle,1632,92,NA,0
2016,2016,5,feather river,herringer riffle,1989,24,-0.22674356114738392,0
2016,2016,6,feather river,gateway riffle,1942,70,NA,0
2016,2016,6,feather river,herringer riffle,1680,14,-0.22674356114738392,0
2016,2016,7,feather river,gateway riffle,1514,119,NA,0
2016,2016,7,feather river,herringer riffle,1669,13,-0.22674356114738392,0
2016,2016,8,feather river,gateway riffle,1380,66,NA,0
2016,2016,8,feather river,herringer riffle,1501,16,-0.22674356114738392,0
2016,2016,9,feather river,gateway riffle,1242,56,NA,0
2016,2016,9,feather river,herringer riffle,1365,10,-0.22674356114738392,0
2017,2017,2,feather river,gateway riffle,1760,8,NA,0
2017,2017,4,feather river,gateway riffle,287,0,NA,0
2017,2017,4,feather river,herringer riffle,303,1,-0.22674356114738392,0
2017,2017,5,feather river,gateway riffle,1937,0,NA,0
2017,2017,18,feather river,herringer riffle,4560,0,-0.22674356114738392,0
2018,2018,1,feather river,eye riffle,158,8,-0.2308002710855685,0
2018,2018,2,feather river,eye riffle,1352,95,-0.2308002710855685,0
2018,2018,2,feather river,herringer riffle,1542,45,-0.22674356114738392,0
2018,2018,3,feather river,eye riffle,1525,129,-0.2308002710855685,0
2018,2018,3,feather river,herringer riffle,830,39,-0.22674356114738392,0
2018,2018,4,feather river,eye riffle,2628,193,-0.2308002710855685,0
2018,2018,4,feather river,herringer riffle,859,22,-0.22674356114738392,0
2018,2018,5,feather river,eye riffle,2415,163,-0.2308002710855685,0
2018,2018,5,feather river,herringer riffle,1820,38,-0.22674356114738392,0
2018,2018,6,feather river,eye riffle,1410,80,-0.2308002710855685,0
2018,2018,7,feather river,eye riffle,2043,148,-0.2308002710855685,0
2018,2018,7,feather river,herringer riffle,1317,30,-0.22674356114738392,0
2018,2018,8,feather river,eye riffle,1006,83,-0.2308002710855685,0
2018,2018,8,feather river,herringer riffle,1011,21,-0.22674356114738392,0
2018,2018,9,feather river,eye riffle,1277,72,-0.2308002710855685,0
2018,2018,9,feather river,herringer riffle,2222,38,-0.22674356114738392,0
2018,2018,10,feather river,eye riffle,1231,77,-0.2308002710855685,0
2018,2018,10,feather river,herringer riffle,2158,34,-0.22674356114738392,0
2018,2018,11,feather river,eye riffle,659,48,-0.2308002710855685,0
2018,2018,11,feather river,herringer riffle,621,4,-0.22674356114738392,0
2018,2018,12,feather river,eye riffle,948,44,-0.2308002710855685,0
