year,week,stream,site,count,mean_fork_length,hours_fished,flow_cfs,run_year
1999,52,feather river,live oak,10013,35.52,168,3562.1428571428573,2000
1999,53,feather river,eye riffle,3150,47.25,168,716,2000
1999,53,feather river,live oak,1760,35.9,168,3556,2000
2000,1,feather river,eye riffle,31329,35.94117647058823,168,720.4285714285714,2000
2000,1,feather river,live oak,9903,37,168,3566.1428571428573,2000
2000,2,feather river,eye riffle,34906,36.333333333333336,168,716.7142857142857,2000
2000,2,feather river,live oak,10309,36.515151515151516,168,3561,2000
2000,3,feather river,eye riffle,45190,37.16326530612245,168,714.7142857142857,2000
2000,3,feather river,live oak,18898,41.6551724137931,168,3304.714285714286,2000
2000,4,feather river,eye riffle,98072,37.171875,168,718.5714285714286,2000
2000,4,feather river,live oak,15065,36.65217391304348,168,1854.2857142857142,2000
2000,5,feather river,eye riffle,74053,38.5,168,722.2857142857143,2000
2000,5,feather river,live oak,9484,37.28947368421053,168,1726.5714285714287,2000
2000,6,feather river,eye riffle,38008,38.17948717948718,168,725.8571428571429,2000
2000,6,feather river,live oak,8209,36.829268292682926,168,1731.5714285714287,2000
2000,7,feather river,eye riffle,28540,42.58771929824562,168,736,2000
2000,7,feather river,live oak,4877,38.1,168,5231.714285714285,2000
2000,8,feather river,eye riffle,7710,39.55172413793103,168,739.4285714285714,2000
2000,8,feather river,live oak,46,41.46153846153846,168,13248,2000
2000,9,feather river,eye riffle,3679,38.4375,168,741.8571428571429,2000
2000,9,feather river,live oak,NA,NA,NA,16170.42857142857,2000
2000,10,feather river,eye riffle,1630,39.51948051948052,168,739.8571428571429,2000
2000,10,feather river,live oak,901,46.3859649122807,168,14797,2000
2000,11,feather river,eye riffle,960,39.898989898989896,168,731.4285714285714,2000
2000,11,feather river,live oak,3873,39.888355342136855,168,13360,2000
2000,12,feather river,eye riffle,426,41.67272727272727,168,721.4285714285714,2000
2000,12,feather river,live oak,2524,50.170212765957444,168,6367.142857142857,2000
2000,13,feather river,eye riffle,195,42.645161290322584,168,715.8571428571429,2000
2000,13,feather river,live oak,850,47.1578947368421,168,3244.4285714285716,2000
2000,14,feather river,eye riffle,128,41.78688524590164,168,704.5714285714286,2000
2000,14,feather river,live oak,61,52.6551724137931,168,2527.4285714285716,2000
2000,15,feather river,eye riffle,28,51.44444444444444,168,706,2000
2000,15,feather river,live oak,160,56.099173553719005,168,5684.571428571428,2000
2000,16,feather river,eye riffle,42,67.28571428571429,168,711.4285714285714,2000
2000,16,feather river,live oak,92,68.91176470588235,168,5558.571428571428,2000
2000,17,feather river,eye riffle,8,60.375,168,721.5714285714286,2000
2000,17,feather river,live oak,405,73.36879432624113,168,4837.285714285715,2000
2000,18,feather river,eye riffle,10,73.5,168,732.1428571428571,2000
2000,18,feather river,live oak,95,75.8688524590164,168,7450.714285714285,2000
2000,19,feather river,eye riffle,10,73.44444444444444,168,711.2857142857143,2000
2000,19,feather river,live oak,98,77.3030303030303,168,4947,2000
2000,20,feather river,eye riffle,12,68.83333333333333,168,705.7142857142857,2000
2000,20,feather river,live oak,2,85.5,168,2288.5714285714284,2000
2000,21,feather river,eye riffle,5,80.6,168,730.1428571428571,2000
2000,21,feather river,live oak,3,81.33333333333333,168,1960.142857142857,2000
2000,22,feather river,eye riffle,5,81,168,736.1428571428571,2000
2000,22,feather river,live oak,0,NA,168,2186.1428571428573,2000
2000,23,feather river,eye riffle,0,NA,168,702.2857142857143,2000
2000,23,feather river,live oak,4,86.25,168,4029.4285714285716,2000
2000,24,feather river,eye riffle,2,73.5,168,714.4285714285714,2000
2000,24,feather river,live oak,2,84,168,4123,2000
2000,25,feather river,eye riffle,2,90,168,700.8571428571429,2000
2000,25,feather river,live oak,0,NA,168,4649.428571428572,2000
2000,26,feather river,eye riffle,NA,NA,NA,677.5714285714286,2000
2000,26,feather river,live oak,NA,NA,NA,8049,2000
2000,27,feather river,eye riffle,NA,NA,NA,679,2000
2000,27,feather river,live oak,NA,NA,NA,8376.142857142857,2000
2000,28,feather river,eye riffle,NA,NA,NA,682.8571428571429,2000
2000,28,feather river,live oak,NA,NA,NA,7301.428571428572,2000
2000,29,feather river,eye riffle,NA,NA,NA,684.8571428571429,2000
2000,29,feather river,live oak,NA,NA,NA,7234.857142857143,2000
2000,30,feather river,eye riffle,NA,NA,NA,684.2857142857143,2000
2000,30,feather river,live oak,NA,NA,NA,8132.857142857143,2000
2000,31,feather river,eye riffle,2,90,168,675.7142857142857,2000
2000,31,feather river,live oak,0,NA,168,7688.571428571428,2000
2000,32,feather river,eye riffle,NA,NA,NA,673.1428571428571,2000
2000,32,feather river,live oak,NA,NA,NA,5886,2000
2000,33,feather river,eye riffle,1,80,168,684,2000
2000,33,feather river,live oak,0,NA,168,6114,2000
2000,34,feather river,eye riffle,0,NA,168,686.5714285714286,2000
2000,34,feather river,live oak,0,NA,168,6113.714285714285,2000
2000,35,feather river,eye riffle,0,NA,168,681.8571428571429,2000
2000,35,feather river,live oak,0,NA,168,5569,2000
2000,36,feather river,eye riffle,NA,NA,NA,682.2857142857143,2000
2000,36,feather river,live oak,NA,NA,NA,4660.857142857143,2000
2000,37,feather river,eye riffle,NA,NA,NA,697.8571428571429,2000
2000,37,feather river,live oak,NA,NA,NA,3537.8571428571427,2000
2000,38,feather river,eye riffle,NA,NA,NA,738.7142857142857,2000
2000,38,feather river,live oak,NA,NA,NA,3098.714285714286,2000
2000,39,feather river,eye riffle,NA,NA,NA,743.5714285714286,2000
2000,39,feather river,live oak,NA,NA,NA,3023.5714285714284,2000
2000,40,feather river,eye riffle,NA,NA,NA,731.7142857142857,2000
2000,40,feather river,live oak,NA,NA,NA,3011.714285714286,2000
2000,41,feather river,eye riffle,NA,NA,NA,736,2000
2000,41,feather river,live oak,NA,NA,NA,2990.285714285714,2000
2000,42,feather river,eye riffle,NA,NA,NA,734.4285714285714,2000
2000,42,feather river,live oak,NA,NA,NA,2448.714285714286,2000
2000,43,feather river,eye riffle,NA,NA,NA,738,2000
2000,43,feather river,live oak,NA,NA,NA,2432.285714285714,2000
2000,44,feather river,eye riffle,NA,NA,NA,742.1428571428571,2000
2000,44,feather river,live oak,NA,NA,NA,2440.714285714286,2000
2000,45,feather river,eye riffle,NA,NA,NA,744.2857142857143,2001
2000,45,feather river,live oak,NA,NA,NA,2438.5714285714284,2001
2000,46,feather river,eye riffle,NA,NA,NA,743.7142857142857,2001
2000,46,feather river,live oak,NA,NA,NA,2443.714285714286,2001
2000,47,feather river,eye riffle,NA,NA,NA,738.1428571428571,2001
2000,47,feather river,live oak,NA,NA,NA,2436.714285714286,2001
2000,48,feather river,eye riffle,12,31.666666666666668,168,734.5714285714286,2001
2000,48,feather river,live oak,5,32.4,168,2434.5714285714284,2001
2000,49,feather river,eye riffle,88,32.734693877551024,168,735.2857142857143,2001
2000,49,feather river,live oak,49,34.470588235294116,168,2432.4285714285716,2001
2000,50,feather river,eye riffle,254,33.42666666666667,168,736.4285714285714,2001
2000,50,feather river,live oak,38,34.08,168,2433.5714285714284,2001
2000,51,feather river,eye riffle,2453,34.225352112676056,168,731,2001
2000,51,feather river,live oak,442,34.68181818181818,168,2428.1428571428573,2001
2000,52,feather river,eye riffle,2529,34.526315789473685,168,733.4285714285714,2001
2000,52,feather river,live oak,262,34.72,168,2432,2001
2000,53,feather river,eye riffle,NA,NA,NA,736.5,2001
2000,53,feather river,live oak,NA,NA,NA,2431.5,2001
2001,1,feather river,eye riffle,24560,35.02173913043478,168,737.7142857142857,2001
2001,1,feather river,live oak,3083,35.76923076923077,168,2269.1428571428573,2001
2001,2,feather river,eye riffle,39735,35.44642857142857,168,739.7142857142857,2001
2001,2,feather river,live oak,3301,35.666666666666664,168,2112.5714285714284,2001
2001,3,feather river,eye riffle,62663,35.86,168,736.1428571428571,2001
2001,3,feather river,live oak,10869,36,168,1866.142857142857,2001
2001,4,feather river,eye riffle,58985,38.77049180327869,168,737.5714285714286,2001
2001,4,feather river,live oak,5333,35.7962962962963,168,1749,2001
2001,5,feather river,eye riffle,76977,36,168,736.5714285714286,2001
2001,5,feather river,live oak,12475,36.767857142857146,168,1746.5714285714287,2001
2001,6,feather river,eye riffle,107650,38.9375,168,739.5714285714286,2001
2001,6,feather river,live oak,30613,36.56521739130435,168,1749.5714285714287,2001
2001,7,feather river,eye riffle,57132,37.93617021276596,168,738.5714285714286,2001
