stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather lfc,485,2011-03-03,13:30:00,upper feather lfc,not recorded,466,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,486,2011-03-07,14:30:00,upper feather lfc,not recorded,240,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,487,2011-03-09,10:00:00,upper feather lfc,not recorded,483,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,488,2011-03-14,12:00:00,upper feather lfc,not recorded,241,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather lfc,489,2014-01-08,12:00:00,upper feather lfc,next to gateway release boxes,506,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,490,2014-01-09,21:00:00,upper feather lfc,gateway release boxes,494,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,491,2014-01-15,21:00:00,upper feather lfc,gateway release boxes,442,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,492,2014-01-16,12:40:00,upper feather lfc,next to gateway release boxes,429,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,493,2014-01-22,10:38:00,upper feather lfc,next to gateway release boxes,500,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,494,2014-01-23,21:00:00,upper feather lfc,gateway release boxes,499,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,495,2014-01-29,21:00:00,upper feather lfc,gateway release boxes,498,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,496,2014-01-30,13:30:00,upper feather lfc,next to gateway release boxes,490,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,498,2014-01-08,14:30:00,upper feather hfc,next to herringer release boxes,498,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,499,2014-01-09,21:00:00,upper feather hfc,herringer release boxes,586,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,500,2014-01-15,21:00:00,upper feather hfc,herringer release boxes,430,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather hfc,501,2014-01-16,10:15:00,upper feather hfc,next to herringer release boxes,450,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,502,2014-01-22,14:41:00,upper feather hfc,next to herringer release boxes,495,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,503,2014-01-23,21:00:00,upper feather hfc,herringer release boxes,501,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
