"","release_location_name","avg_weight","avg_length","first_release_date","last_release_date","tag_code_or_release_id","tag_loss_rate","wy_first_release","wy_last_release","date_span","total_marked_N","total_unmarked_N","total_release_N","mark_rate","mid_release_date","release_latitude","release_longitude","delta_distance"
"73","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-18,2008-04-22,"068015",0.01,2008-04-18,2008-04-22,5,115628,2348,117976,0.980097646979047,2008-04-20,39.057,-121.61,68.53
"74","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-14,2008-04-15,"062476",0.025,2008-04-14,2008-04-15,2,113661,5904,119565,0.950621001129093,2008-04-15,39.057,-121.61,68.53
"75","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-07,2008-04-14,"068010",0.04,2008-04-07,2008-04-14,8,543512,46236,589748,0.921600412379525,2008-04-11,39.057,-121.61,68.53
"76","FEATHER BOYDS PUMP RAMP",7.55,92,2009-04-06,2009-04-14,"068023",0.0017,2009-04-06,2009-04-14,9,546051,1861,547912,0.996603469170232,2009-04-10,39.057,-121.61,68.53
"77","FEATHER BOYDS PUMP RAMP",7.55,92,2009-04-06,2009-04-06,"068028",4e-04,2009-04-06,2009-04-06,1,117690,94,117784,0.999201928954697,2009-04-06,39.057,-121.61,68.53
"78","FEATHER BOYDS PUMP RAMP",7.55,92,2009-04-06,2009-04-06,"068029",4e-04,2009-04-06,2009-04-06,1,117852,94,117946,0.999203025113187,2009-04-06,39.057,-121.61,68.53
"79","FEATHER BOYDS PUMP RAMP",7.55,92,2009-04-07,2009-04-07,"068030",4e-04,2009-04-07,2009-04-07,1,117664,94,117758,0.999201752747159,2009-04-07,39.057,-121.61,68.53
"80","FEATHER BOYDS PUMP RAMP",7.55,92,2009-04-08,2009-04-08,"068031",4e-04,2009-04-08,2009-04-08,1,115343,92,115435,0.999203014683588,2009-04-08,39.057,-121.61,68.53
"81","FEATHER BOYDS PUMP RAMP",7.68,92,2010-04-09,2010-04-22,"068034",0,2010-04-09,2010-04-22,14,1030377,10268,1040645,0.990133042488072,2010-04-16,39.057,-121.61,68.53
"82","FEATHER BOYDS PUMP RAMP",8.55,101,2011-04-26,2011-04-26,"068743",0,2011-04-26,2011-04-26,1,5185,50,5235,0.990448901623687,2011-04-26,39.057,-121.61,68.53
"83","FEATHER BOYDS PUMP RAMP",8.55,101,2011-04-26,2011-04-26,"068748",0,2011-04-26,2011-04-26,1,1165155,11320,1176475,0.990378036082365,2011-04-26,39.057,-121.61,68.53
"84","FEATHER BEL THRM HI FLOW",9.06,NA,2012-04-25,2012-04-25,"069501",0,2012-04-25,2012-04-25,1,98990,0,98990,1,2012-04-25,39.366,-121.65,115.9
"85","FEATHER BOYDS PUMP RAMP",9.46,NA,2012-04-03,2012-04-25,"060390",0,2012-04-03,2012-04-25,23,998342,13377,1011719,0.986777949213171,2012-04-14,39.057,-121.61,68.53
"86","FEATHER AT GRIDLEY",6.97,NA,2013-04-17,2013-04-17,"060437",0,2013-04-17,2013-04-17,1,91684,616,92300,0.993326110509209,2013-04-17,39.366,-121.65,115.9
"87","FEATHER BOYDS PUMP RAMP",8.04,NA,2013-04-09,2013-04-22,"060463",0,2013-04-09,2013-04-22,14,1019799,13798,1033597,0.986650503049061,2013-04-16,39.057,-121.61,68.53
"88","FEATHER AT GRIDLEY",2.55,NA,2022-03-20,2022-03-20,"062864",0,2022-03-20,2022-03-20,1,356754,359498,716252,0.498084473062553,2022-03-20,39.366,-121.65,115.9
"89","FEATHER BOYDS PUMP RAMP",2.44,NA,2022-03-20,2022-03-20,"062863",0,2022-03-20,2022-03-20,1,367930,372999,740929,0.496579294372335,2022-03-20,39.057,-121.61,68.53
"90","FEATHER AT GRIDLEY",6.97,NA,2020-04-07,2020-04-07,"060502",0,2020-04-07,2020-04-07,1,205919,2081,208000,0.989995192307692,2020-04-07,39.366,-121.65,115.9
"91","FEATHER BOYDS PUMP RAMP",6.67,NA,2020-04-07,2020-04-07,"060503",0,2020-04-07,2020-04-07,1,165487,1112,166599,0.993325290067767,2020-04-07,39.057,-121.61,68.53
"92","FEATHER AT GRIDLEY",4.93,NA,2020-03-17,2020-03-17,"062042",0,2020-03-17,2020-03-17,1,347269,2331,349600,0.9933323798627,2020-03-17,39.366,-121.65,115.9
"93","FEATHER BOYDS PUMP RAMP",4.77,NA,2020-03-17,2020-03-17,"062043",0,2020-03-17,2020-03-17,1,353478,2772,356250,0.992218947368421,2020-03-17,39.057,-121.61,68.53
"94","FEATHER BOYDS PUMP RAMP",6.57,NA,2020-04-07,2020-04-07,"062044",0,2020-04-07,2020-04-07,1,349488,1562,351050,0.995550491382994,2020-04-07,39.057,-121.61,68.53
"95","FEATHER AT GRIDLEY",6.47,NA,2020-04-07,2020-04-07,"062045",0,2020-04-07,2020-04-07,1,351928,1572,353500,0.995553041018388,2020-04-07,39.366,-121.65,115.9
