record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
T,4.2,20250625,USFWS,USFWS,07,056708,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.1,71,N,5000,111037,,,0000,331131,,,C,0,26,378,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056707,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.09,76,N,5000,109092,,,0000,327351,,,C,0,28,363,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056711,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.1,73,N,5000,116954,,,5000,298,0000,346573,C,0.0025,26,393,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056712,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.11,68,N,5000,104016,,,0000,306744,,,C,0,29,277,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056705,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.11,73,N,5000,82943,0000,212,5000,212,0000,251860,C,0.0025,24,393,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056716,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.14,70,N,5000,96224,,,0000,285426,,,C,0,33,277,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056706,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.1,72,N,5000,115869,,,0000,348088,,,C,0,20,393,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056703,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.09,79,N,5000,87329,,,5000,225,0000,264314,C,0.0026,25,389,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056702,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.08,77,N,5000,112601,0000,256,0000,339695,,,C,0,25,441,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056701,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.09,77,N,5000,100413,,,0000,301406,,,C,0,27,391,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056699,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.08,78,N,5000,112476,,,0000,350407,,,C,0,27,386,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056698,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.08,80,N,5000,98736,,,0000,306911,,,C,0,31,389,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056696,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.08,78,N,5000,115236,,,0000,346045,,,C,0,32,392,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056692,12,,,,,1,3,2022,20230329,20230329,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.13,69,N,5000,106644,,,5000,1091,0000,323377,C,0.0101,41,395,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056694,12,,,,,1,3,2022,20230329,20230329,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.16,66,N,5000,83755,,,5000,213,0000,258689,C,0.0025,33,394,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056695,12,,,,,1,3,2022,20230329,20230329,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.16,65,N,5000,93118,,,0000,288916,,,C,0,32,395,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056675,12,,,,,1,3,2022,20230329,20230329,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.1,75,N,5000,21547,,,0000,64689,,,C,0,21,402,,,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056693,12,,,,,1,3,2022,20230329,20230329,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.14,68,N,5000,98371,,,5000,259,0000,296300,C,0.0026,34,381,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
