record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,
T,4.1,10/31/2014,CDFW,CDFW,8,060525,12,,,,,1,3,2013,4/9/2014,4/9/2014,6MOSFTIB,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,6.67,,N,5000,100227,,,,,,,C,0,,,,Barge Experiment. Truck to Barge. No retention check due to early release.,TIBURON MINOR PORT,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,1
T,4.1,8/3/2006,CDFW,TYEE,8,062941,12,,,,,1,3,2000,8/25/2001,8/25/2001,6MOSFTIB NET,6MOSFTIB NTPN,6FCSAFEA,Y,H,E,,70.9,155,N,5000,41819,,,5000,12,,,,0.0003,89,197,,,TIBURON NET PENS,TIBURON NET PENS,FEATHER RIVER,CA,CECA,SFBA,C,0.999413217
T,4.1,1/13/2020,CDFW,CDFW,8,060562,12,,,,,1,1,2013,4/10/2014,4/11/2014,6FCSAFEA BOYD,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,6.57,,N,5000,1029124,,,5000,4383,0,4383,C,,12,950,,150 acoustic tags.55258 released in net pen. Associated tag codes=068696;068008,FEATHER BOYDS PUMP RAMP,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,SAFA,FEA,N,0.991554018
T,4.1,1/13/2020,CDFW,CDFW,8,060568,12,,,,,1,3,2013,5/21/2014,5/22/2014,6FCSAFEA LKOR,6FCSAFEA FRFH,6FCSAFEA FRFH,Y,H,P,FR,25.18,,N,5000,96513,0,224,5000,3693,0,224,C,,22,900,,Inland program. Associated tag codes=060452; 060446,LAKE OROVILLE,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,SAFA,FEA,N,0.961084507
T,4.1,1/13/2020,CDFW,CDFW,8,060563,12,,,,,1,1,2013,4/9/2014,4/10/2014,6MOSFMAR NET,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,P,FR,6.87,,N,5000,997962,0,2247,5000,3371,0,5618,C,,23,920,,,MARE ISLAND NET PEN,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,CECA,SFBA,N,0.991092927
T,4.1,10/2/2015,CDFW,CDFW,8,060564,12,,,,,1,3,2013,5/12/2014,5/14/2014,6MOSFROD SELBWICNET,6FCSAFEA FRFH,6FCSAFEA,V,H,P,FR,7.55,,N,5000,528975,,,0,1589525,,,C,0,,,,No retention check due to early release.  Edit location net pen.,WICKLAND OIL NET PEN,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,N,0.249693179
T,4.1,10/31/2014,CDFW,CDFW,8,060569,12,,,,,1,1,2013,4/10/2014,4/10/2014,6FCSAFEA GRID,6FCSAFEA FRFH,6FCSAFEA FRFH,G,H,E,FR,6.21,,N,5000,101866,0,334,,,,,C,0,22,918,,1/2 released in AM; 1/2 in PM. Each release had 75 acoustic tags. 150 total,FEATHER AT GRIDLEY,FEATHER R HATCHERY,FEATHER R HATCHERY,CA,SAFA,FEA,N,1
T,4.1,10/31/2014,CDFW,CDFW,8,060575,12,,,,,1,3,2013,6/5/2014,6/5/2014,6MOSFMAR NET,6FCSAAMN NBFH,6FCSAAMN,V,H,P,FR,7.92,,N,5000,35093,,,5000,83,0,105352,C,,14,851,,Associated tag code = 060579,MARE ISLAND NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.249722475
T,4.1,8/3/2006,CDFW,CDFW,8,060305,0,,,,,1,3,1975,197605,197606,6FCSASAF RBDD,6FCSABAT CNFH,6FCSABAT,G,H,B,,3.6,,N,5000,162857,,,0,316134,,,,,,,,,SAC R RED BLUFF DIV DAM,COLEMAN NFH,BATTLE CREEK BELOW CNFH,CA,SAFA,SACR,C,0.340000125
T,4.1,10/31/2014,CDFW,CDFW,8,060579,12,,,,,1,3,2013,5/30/2014,6/5/2014,6MOSFMAR NET,6FCSAAMN NBFH,6FCSAAMN,V,H,P,FR,8.17,,N,5000,280082,,,5000,660,0,842194,C,,15,851,,Associated tag code = 060575,MARE ISLAND NET PEN,NIMBUS FISH HATCHERY,AMERICAN RIVER,CA,CECA,SFBA,N,0.249419379
