log_id,date_identified,data_type,stream,site,run_year,issue_type,field,description,n_records,severity,alert_level,status,reviewer_notes,date_resolved,fix_script
rst__yuba_river__hallwood__2023__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2023,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2023 at hallwood (yuba river). Range of flagged values: [15, 15]mm",1,critical,warning,open,,,
rst__yuba_river__hallwood__2024__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2024,implausible_value,fork_length,"3 record(s) with fork_length <20mm or >200mm in run year 2024 at hallwood (yuba river). Range of flagged values: [3, 6]mm",3,critical,warning,open,,,
rst__yuba_river__hallwood__2026__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2026,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2026 at hallwood (yuba river). Range of flagged values: [1, 1]mm",1,critical,warning,open,,,
rst__battle_creek__ubc__1999__extreme_value__count,7/2/26,rst,battle creek,ubc,1999,extreme_value,count,Total catch of 37495 in run year 1999 at ubc (battle creek) is 24.6x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2000__extreme_value__count,7/2/26,rst,battle creek,ubc,2000,extreme_value,count,Total catch of 11558 in run year 2000 at ubc (battle creek) is 7.6x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2004__extreme_value__count,7/2/26,rst,battle creek,ubc,2004,extreme_value,count,Total catch of 11010 in run year 2004 at ubc (battle creek) is 7.2x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2010__extreme_value__count,7/2/26,rst,battle creek,ubc,2010,extreme_value,count,Total catch of 7605 in run year 2010 at ubc (battle creek) is 5x the site median (1523),1,minor,error,open,,,
rst__battle_creek__ubc__2014__extreme_value__count,7/2/26,rst,battle creek,ubc,2014,extreme_value,count,Total catch of 7737 in run year 2014 at ubc (battle creek) is 5.1x the site median (1523),1,minor,error,open,,,
rst__butte_creek__okie_dam__1999__extreme_value__count,7/2/26,rst,butte creek,okie dam,1999,extreme_value,count,Total catch of 375222 in run year 1999 at okie dam (butte creek) is 4.6x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2001__extreme_value__count,7/2/26,rst,butte creek,okie dam,2001,extreme_value,count,Total catch of 696955 in run year 2001 at okie dam (butte creek) is 8.5x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2002__extreme_value__count,7/2/26,rst,butte creek,okie dam,2002,extreme_value,count,Total catch of 369493 in run year 2002 at okie dam (butte creek) is 4.5x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2004__extreme_value__count,7/2/26,rst,butte creek,okie dam,2004,extreme_value,count,Total catch of 339706 in run year 2004 at okie dam (butte creek) is 4.1x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2005__extreme_value__count,7/2/26,rst,butte creek,okie dam,2005,extreme_value,count,Total catch of 736669 in run year 2005 at okie dam (butte creek) is 9x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2007__extreme_value__count,7/2/26,rst,butte creek,okie dam,2007,extreme_value,count,Total catch of 669926 in run year 2007 at okie dam (butte creek) is 8.2x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2008__extreme_value__count,7/2/26,rst,butte creek,okie dam,2008,extreme_value,count,Total catch of 353141 in run year 2008 at okie dam (butte creek) is 4.3x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2020__extreme_value__count,7/2/26,rst,butte creek,okie dam,2020,extreme_value,count,Total catch of 429011 in run year 2020 at okie dam (butte creek) is 5.2x the site median (81964.5),1,minor,error,open,,,
rst__clear_creek__lcc__1999__extreme_value__count,7/2/26,rst,clear creek,lcc,1999,extreme_value,count,Total catch of 758650 in run year 1999 at lcc (clear creek) is 4.1x the site median (186491.5),1,minor,error,open,,,
rst__clear_creek__lcc__2014__extreme_value__count,7/2/26,rst,clear creek,lcc,2014,extreme_value,count,Total catch of 889198 in run year 2014 at lcc (clear creek) is 4.8x the site median (186491.5),1,minor,error,open,,,
rst__clear_creek__ucc__2014__extreme_value__count,7/2/26,rst,clear creek,ucc,2014,extreme_value,count,Total catch of 28301 in run year 2014 at ucc (clear creek) is 6.2x the site median (4591),1,minor,error,open,,,
rst__clear_creek__ucc__2022__extreme_value__count,7/2/26,rst,clear creek,ucc,2022,extreme_value,count,Total catch of 77189 in run year 2022 at ucc (clear creek) is 16.8x the site median (4591),1,minor,error,open,,,
rst__deer_creek__deer_creek__1996__extreme_value__count,7/2/26,rst,deer creek,deer creek,1996,extreme_value,count,Total catch of 5736 in run year 1996 at deer creek (deer creek) is 5.6x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__1999__extreme_value__count,7/2/26,rst,deer creek,deer creek,1999,extreme_value,count,Total catch of 8569 in run year 1999 at deer creek (deer creek) is 8.3x the site median (1032),1,minor,error,open,,,
