week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
4,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,9.534057337220604
4,2005,battle creek,UBC,USFWS,battle creek,temperature,min,7.92
5,2005,battle creek,UBC,USFWS,battle creek,temperature,max,10.08
5,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,8.767486637512148
5,2005,battle creek,UBC,USFWS,battle creek,temperature,min,7.3
6,2005,battle creek,UBC,USFWS,battle creek,temperature,max,10.39
6,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,9.148066690962098
6,2005,battle creek,UBC,USFWS,battle creek,temperature,min,7.92
7,2005,battle creek,UBC,USFWS,battle creek,temperature,max,11.63
7,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,10.015699101069
7,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.38
8,2005,battle creek,UBC,USFWS,battle creek,temperature,max,11.94
8,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,10.64402332361516
8,2005,battle creek,UBC,USFWS,battle creek,temperature,min,9.3
9,2005,battle creek,UBC,USFWS,battle creek,temperature,max,12.24
9,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,10.662633624878524
9,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.84
10,2005,battle creek,UBC,USFWS,battle creek,temperature,max,13.94
10,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,12.141991010689992
10,2005,battle creek,UBC,USFWS,battle creek,temperature,min,9.77
11,2005,battle creek,UBC,USFWS,battle creek,temperature,max,14.26
11,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,11.427701044703596
11,2005,battle creek,UBC,USFWS,battle creek,temperature,min,9.3
12,2005,battle creek,UBC,USFWS,battle creek,temperature,max,11.94
12,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,10.363125
12,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.38
13,2005,battle creek,UBC,USFWS,battle creek,temperature,max,12.09
13,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,10.748035714285715
13,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.38
14,2005,battle creek,UBC,USFWS,battle creek,temperature,max,13.94
14,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,11.36804118340213
14,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.99
15,2005,battle creek,UBC,USFWS,battle creek,temperature,max,13.94
15,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,11.568591472303208
15,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.69
16,2005,battle creek,UBC,USFWS,battle creek,temperature,max,15.36
16,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,12.902261904761904
16,2005,battle creek,UBC,USFWS,battle creek,temperature,min,10.39
17,2005,battle creek,UBC,USFWS,battle creek,temperature,max,15.04
17,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,13.254794096209912
17,2005,battle creek,UBC,USFWS,battle creek,temperature,min,11.32
18,2005,battle creek,UBC,USFWS,battle creek,temperature,max,15.67
18,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,13.846648519163763
18,2005,battle creek,UBC,USFWS,battle creek,temperature,min,12.09
19,2005,battle creek,UBC,USFWS,battle creek,temperature,max,15.99
19,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,12.458856899902818
19,2005,battle creek,UBC,USFWS,battle creek,temperature,min,8.99
20,2005,battle creek,UBC,USFWS,battle creek,temperature,max,16.94
20,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.071041666666666
20,2005,battle creek,UBC,USFWS,battle creek,temperature,min,13.79
21,2005,battle creek,UBC,USFWS,battle creek,temperature,max,18.38
21,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.047142857142855
21,2005,battle creek,UBC,USFWS,battle creek,temperature,min,11.78
22,2005,battle creek,UBC,USFWS,battle creek,temperature,max,17.89
22,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.412228498542275
22,2005,battle creek,UBC,USFWS,battle creek,temperature,min,12.56
23,2005,battle creek,UBC,USFWS,battle creek,temperature,max,17.42
23,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,14.423820051830257
23,2005,battle creek,UBC,USFWS,battle creek,temperature,min,11.47
24,2005,battle creek,UBC,USFWS,battle creek,temperature,max,18.06
24,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.642589285714283
24,2005,battle creek,UBC,USFWS,battle creek,temperature,min,12.4
25,2005,battle creek,UBC,USFWS,battle creek,temperature,max,18.22
25,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.49982932458698
25,2005,battle creek,UBC,USFWS,battle creek,temperature,min,12.09
26,2005,battle creek,UBC,USFWS,battle creek,temperature,max,20.32
26,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,17.624774659863945
26,2005,battle creek,UBC,USFWS,battle creek,temperature,min,15.52
27,2005,battle creek,UBC,USFWS,battle creek,temperature,max,21.64
27,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,19.177098517978624
27,2005,battle creek,UBC,USFWS,battle creek,temperature,min,16.94
28,2005,battle creek,UBC,USFWS,battle creek,temperature,max,22.14
28,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,19.505863095238094
28,2005,battle creek,UBC,USFWS,battle creek,temperature,min,16.94
29,2005,battle creek,UBC,USFWS,battle creek,temperature,max,22.64
29,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,20.331413386783286
29,2005,battle creek,UBC,USFWS,battle creek,temperature,min,17.09
30,2005,battle creek,UBC,USFWS,battle creek,temperature,max,21.47
30,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,19.544447886297377
30,2005,battle creek,UBC,USFWS,battle creek,temperature,min,17.26
31,2005,battle creek,UBC,USFWS,battle creek,temperature,max,22.14
31,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,19.43565779883382
31,2005,battle creek,UBC,USFWS,battle creek,temperature,min,16.62
32,2005,battle creek,UBC,USFWS,battle creek,temperature,max,21.14
32,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,19.153615160349855
32,2005,battle creek,UBC,USFWS,battle creek,temperature,min,16.94
33,2005,battle creek,UBC,USFWS,battle creek,temperature,max,20.64
33,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,18.652473275024295
33,2005,battle creek,UBC,USFWS,battle creek,temperature,min,16.62
34,2005,battle creek,UBC,USFWS,battle creek,temperature,max,20.16
34,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,17.93606353255588
34,2005,battle creek,UBC,USFWS,battle creek,temperature,min,15.52
35,2005,battle creek,UBC,USFWS,battle creek,temperature,max,19.99
35,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,17.406011297376093
35,2005,battle creek,UBC,USFWS,battle creek,temperature,min,14.88
36,2005,battle creek,UBC,USFWS,battle creek,temperature,max,19.51
36,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,16.970844873663747
36,2005,battle creek,UBC,USFWS,battle creek,temperature,min,14.72
37,2005,battle creek,UBC,USFWS,battle creek,temperature,max,17.26
37,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.436636904761906
37,2005,battle creek,UBC,USFWS,battle creek,temperature,min,13.02
38,2005,battle creek,UBC,USFWS,battle creek,temperature,max,17.73
38,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,15.431893221574343
